,Date,Close,Probability,Position,Actual_Return,Strategy_Return,Cumulative_Strategy,Cumulative_Market
112,2025-06-06,25003.05078,1.0,1,0.003997448366135359,0.003997448366135359,1.0515812626304635,1.0515812626304635
113,2025-06-09,25103.19922,1.0,1,4.1857532778522e-05,4.1857532778522e-05,1.0516252792276333,1.0516252792276333
114,2025-06-10,25104.25,1.0,1,0.0014787507243454456,0.0014787507243454456,1.0531803708710312,1.0531803708710312
115,2025-06-11,25141.40039,1.0,1,-0.010122140869498253,-0.010122140869498253,1.0425199307960842,1.0425199307960842
116,2025-06-12,24888.19922,1.0,1,-0.006837783381342888,-0.006837783381342888,1.035391405338568,1.035391405338568
117,2025-06-13,24718.59961,1.0,1,0.009177550673484802,0.009177550673484802,1.0448937624279533,1.0448937624279533
118,2025-06-16,24946.5,1.0,1,-0.003738952102139592,-0.003738952102139592,1.0409869546984107,1.0409869546984107
119,2025-06-17,24853.40039,1.0,1,-0.0016651260666549206,-0.0016651260666549206,1.0392535801850946,1.0392535801850946
120,2025-06-18,24812.05078,1.0,1,-0.0007580149685963988,-0.0007580149685963988,1.038465810415147,1.038465810415147
121,2025-06-19,24793.25,1.0,1,0.012790325097739697,0.012790325097739697,1.0517481257332444,1.0517481257332444
122,2025-06-20,25112.40039,1.0,1,-0.005610555410385132,-0.005610555410385132,1.0458472345960492,1.0458472345960492
123,2025-06-23,24971.90039,1.0,1,0.0028970292769372463,0.0028970292769372463,1.0488770846538777,1.0488770846538777
124,2025-06-24,25044.34961,1.0,1,0.007969975471496582,0.007969975471496582,1.057236609291184,1.057236609291184
125,2025-06-25,25244.75,1.0,1,0.011979963630437851,0.011979963630437851,1.0699022654192598,1.0699022654192598
126,2025-06-26,25549.0,1.0,1,0.0034696783404797316,0.0034696783404797316,1.0736144821360152,1.0736144821360152
127,2025-06-27,25637.80078,1.0,1,-0.004720968659967184,-0.004720968659967184,1.0685459818129641,1.0685459818129641
128,2025-06-30,25517.05078,1.0,1,0.0009694696054793894,0.0009694696054793894,1.0695819046643888,1.0695819046643888
129,2025-07-01,25541.80078,1.0,1,-0.003467011731117964,-0.003467011731117964,1.0658736516535259,1.0658736516535259
130,2025-07-02,25453.40039,1.0,1,-0.0018915003165602684,-0.0018915003165602684,1.06385755130401,1.06385755130401
131,2025-07-03,25405.30078,1.0,1,0.0021900252904742956,0.0021900252904742956,1.0661874262468278,1.0661874262468278
132,2025-07-04,25461.0,1.0,1,1.1813292076112702e-05,1.1813292076112702e-05,1.066200021430302,1.066200021430302
133,2025-07-07,25461.30078,1.0,1,0.0024007330648601055,0.0024007330648601055,1.0687596830755044,1.0687596830755044
134,2025-07-08,25522.5,1.0,1,-0.0018196735763922334,-0.0018196735763922334,1.0668148893206986,1.0668148893206986
135,2025-07-09,25476.09961,1.0,1,-0.004754933062940836,-0.004754933062940836,1.06174225593143,1.06174225593143
136,2025-07-10,25355.25,1.0,1,-0.008133891969919205,-0.008133891969919205,1.0531061591217854,1.0531061591217854
137,2025-07-11,25149.84961,1.0,1,-0.0026894675102084875,-0.0026894675102084875,1.0502738643220269,1.0502738643220269
138,2025-07-14,25082.30078,1.0,1,0.004514895845204592,0.004514895845204592,1.0550157414283814,1.0550157414283814
139,2025-07-15,25195.80078,1.0,1,0.0006447408231906593,0.0006447408231906593,1.055695953145989,1.055695953145989
140,2025-07-16,25212.05078,1.0,1,-0.003998199477791786,-0.003998199477791786,1.0514750701374138,1.0514750701374138
141,2025-07-17,25111.44922,1.0,1,-0.005712845362722874,-0.005712845362722874,1.0454681556589607,1.0454681556589607
